COD_IBGE;COD_SIAFI;NOME_ENTE;NOME_SIMPLIFICADO;SIGLA_UF;NOME_UF;LAT;LNG;POP_EST_2020;CAPITAL;NOME_ANTIGO_OU_GRAFIA_DIFERENTE;ALT;REGIAO;COD_UE_TSE_2016;IDHM;IDHM_RENDA;IDHM_EDUCACAO;IDHM_LONGEVIDADE
1300102;203;Anori;ANORI;AM;Amazonas;-3.745.385.586;-6.165.895.538;21477;0;NULL;203.462.460.000;N;2038;0,561;0,757;0,433;0,54
1300144;969;Apuí;APUI;AM;Amazonas;-7.197.870.152;-598.856.661;22359;0;NULL;1.329.811.100.000;N;2003;0,637;0,772;0,54;0,621
1300201;205;Atalaia do Norte;ATALAIA DO NORTE;AM;Amazonas;-436.615.749;-7.018.798.928;20398;0;NULL;760.166.380.000;N;2054;0,45;0,733;0,259;0,481
1300300;207;Autazes;AUTAZES;AM;Amazonas;-3.578.663.642;-5.913.356.709;40290;0;NULL;204.915.510.000;N;2070;0,577;0,799;0,446;0,539
1300409;209;Barcelos;BARCELOS;AM;Amazonas;-0.972801053;-6.292.566.966;27638;0;NULL;353.619.600.000;N;2097;0,5;0,728;0,315;0,545
1300508;211;Barreirinha;BARREIRINHA;AM;Amazonas;-2.798.149.837;-5.706.775.049;32483;0;NULL;112.346.090.000;N;2119;0,574;0,774;0,522;0,469
1300607;213;Benjamin Constant;BENJAMIN CONSTANT;AM;Amazonas;-4.374.989.019;-7.002.734.843;43935;0;NULL;698.038.110.000;N;2135;0,574;0,763;0,471;0,526
1300631;295;Beruri;BERURI;AM;Amazonas;-389.451.341;-6.137.157.089;20093;0;NULL;228.620.030.000;N;2950;0,506;0,731;0,346;0,512
1300680;297;Boa Vista do Ramos;BOA VISTA DO RAMOS;AM;Amazonas;-2.971.726.532;-5.758.770.735;19626;0;NULL;230.180.480.000;N;2976;0,565;0,75;0,484;0,496
1300706;215;Boca do Acre;BOCA DO ACRE;AM;Amazonas;-8.751.243.196;-6.739.957.776;34635;0;NULL;1.067.660.330.000;N;2151;0,588;0,777;0,455;0,576
1300805;217;Borba;BORBA;AM;Amazonas;-4.390.619.891;-5.959.455.902;41748;0;NULL;290.149.050.000;N;2178;0,56;0,776;0,425;0,532
1300839;299;Caapiranga;CAAPIRANGA;AM;Amazonas;-3.330.093.392;-6.121.133.413;13283;0;NULL;201.668.400.000;N;2992;0,569;0,775;0,436;0,544
1300904;219;Canutama;CANUTAMA;AM;Amazonas;-6.529.106.076;-6.439.423.082;15807;0;NULL;520.089.630.000;N;2194;0,53;0,752;0,379;0,522
1301001;221;Carauari;CARAUARI;AM;Amazonas;-4.881.665.904;-6.689.663.528;28508;0;NULL;661.579.600.000;N;2216;0,549;0,745;0,416;0,534
1301100;223;Careiro;CAREIRO;AM;Amazonas;-382.244.727;-6.036.380.984;38348;0;NULL;251.753.840.000;N;2232;0,557;0,779;0,431;0,515
1301159;965;Careiro da Várzea;CAREIRO DA VARZEA;AM;Amazonas;-3.197.396.595;-5.982.631.406;30846;0;NULL;192.285.590.000;N;2046;0,568;0,779;0,45;0,523
1301209;225;Coari;COARI;AM;Amazonas;-4.084.219.159;-6.314.218.398;85910;0;NULL;379.399.470.000;N;2259;0,586;0,78;0,425;0,606
1301308;227;Codajás;CODAJAS;AM;Amazonas;-3.843.045.933;-6.206.342.966;29168;0;NULL;281.553.670.000;N;2275;0,563;0,775;0,421;0,546
1301407;229;Eirunepé;EIRUNEPE;AM;Amazonas;-6.667.352.567;-6.986.629.026;35700;0;NULL;1.221.743.990.000;N;2291;0,563;0,756;0,431;0,548
1301506;231;Envira;ENVIRA;AM;Amazonas;-7.439.817.544;-7.003.041.254;20393;0;NULL;1.373.963.010.000;N;2313;0,509;0,727;0,349;0,521
1301605;233;Fonte Boa;FONTE BOA;AM;Amazonas;-2.512.270.685;-6.609.650.299;17005;0;NULL;581.470.190.000;N;2330;0,53;0,719;0,4;0,518
1301654;967;Guajará;GUAJARA;AM;Amazonas;-7.547.774.415;-7.258.243.054;16937;0;NULL;1.827.512.460.000;N;2020;0,532;0,762;0,387;0,51
1301704;235;Humaitá;HUMAITA;AM;Amazonas;-7.512.224.951;-6.302.669.802;56144;0;NULL;550.174.520.000;N;2356;0,605;0,791;0,451;0,621
1301803;239;Ipixuna;IPIXUNA;AM;Amazonas;-7.050.980.114;-7.169.441.806;30436;0;NULL;1.563.279.620.000;N;2399;0,481;0,772;0,302;0,476
1301852;9835;Iranduba;IRANDUBA;AM;Amazonas;-3.281.053.878;-6.019.338.817;49011;0;NULL;432.231.180.000;N;98353;0,613;0,799;0,476;0,607
1301902;241;Itacoatiara;ITACOATIARA;AM;Amazonas;-3.140.378.804;-5.844.017.544;102701;0;NULL;216.594.180.000;N;2410;0,644;0,811;0,534;0,618
1301951;9837;Itamarati;ITAMARATI;AM;Amazonas;-6.437.799.349;-6.824.791.744;7814;0;NULL;1.126.521.640.000;N;98370;0,477;0,772;0,266;0,529
1302009;243;Itapiranga;ITAPIRANGA;AM;Amazonas;-2.741.842.752;-5.803.454.588;9230;0;NULL;692.687.090.000;N;2437;0,654;0,792;0,594;0,594
1302108;245;Japurá;JAPURA;AM;Amazonas;-1.880.844.859;-6.699.690.349;2251;0;NULL;698.405.250.000;N;2453;0,522;0,748;0,345;0,552
1302207;247;Juruá;JURUA;AM;Amazonas;-3.474.889.599;-6.606.304.193;15106;0;NULL;643.791.740.000;N;2470;0,522;0,704;0,376;0,538
1302306;249;Jutaí;JUTAI;AM;Amazonas;-2.744.646.447;-6.677.132.755;13886;0;NULL;621.444.250.000;N;2496;0,516;0,766;0,34;0,528
1302405;251;Lábrea;LABREA;AM;Amazonas;-7.261.946.553;-6.479.477.303;46882;0;NULL;575.073.140.000;N;2518;0,531;0,744;0,374;0,538
1302504;253;Manacapuru;MANACAPURU;AM;Amazonas;-3.298.278.035;-6.062.058.945;98502;0;NULL;269.655.420.000;N;2534;0,614;0,795;0,481;0,604
1302553;9839;Manaquiri;MANAQUIRI;AM;Amazonas;-3.429.079.669;-6.045.888.131;33049;0;NULL;294.811.210.000;N;98396;0,596;0,748;0,51;0,556
1302603;255;Manaus;MANAUS;AM;Amazonas;-3.134.691.491;-6.002.333.518;2219580;1;NULL;343.563.310.000;N;2550;0,737;0,826;0,658;0,738
1302702;257;Manicoré;MANICORE;AM;Amazonas;-5.813.205.261;-6.129.924.841;56583;0;NULL;443.463.130.000;N;2577;0,582;0,747;0,456;0,58
1302801;259;Maraã;MARAA;AM;Amazonas;-1.866.436.877;-655.742.837;18261;0;NULL;471.359.370.000;N;2593;0,498;0,763;0,348;0,466
1302900;261;Maués;MAUES;AM;Amazonas;-3.386.427.926;-5.771.503.439;65040;0;NULL;240.589.420.000;N;2615;0,588;0,8;0,464;0,549
1303007;263;Nhamundá;NHAMUNDA;AM;Amazonas;-2.188.983.767;-5.671.676.991;21443;0;NULL;10.000.000.000;N;2631;0,586;0,779;0,503;0,513
1303106;265;Nova Olinda do Norte;NOVA OLINDA DO NORTE;AM;Amazonas;-3.887.592.832;-5.909.307.403;38026;0;NULL;120.731.480.000;N;2658;0,558;0,78;0,412;0,541
1303205;201;Novo Airão;NOVO AIRAO;AM;Amazonas;-2.623.432.459;-6.094.881.071;19928;0;NULL;217.996.400.000;N;2011;0,57;0,776;0,434;0,551
1303304;267;Novo Aripuanã;NOVO ARIPUANA;AM;Amazonas;-5.122.669.314;-6.037.704.567;26046;0;NULL;290.635.630.000;N;2674;0,554;0,759;0,421;0,532
